event_id,method_id,t1,A1,t2,A2,t3,A3,threshold,true_t0,expected_t0,t0_est,amax_est,error_vs_expected_ns,error_vs_true_ns,start_cycle,valid_cycle,latency_cycles,t0_raw,amax_raw,pass
8,1,13.959346979,0.399813617,17.169904240,1.468156971,20.690348425,2.915073254,0.300000000,22.059266430,12.485156949,12.473403931,2.915069580,-0.011753018,-9.585862499,115,118,3,0x000c7931,0x0002ea42,1
8,2,13.959346979,0.399813617,17.169904240,1.468156971,20.690348425,2.915073254,0.300000000,22.059266430,22.047715816,22.143661499,2.915069580,0.095945683,0.084395069,119,122,3,0x001624c7,0x0002ea42,1
9,0,18.240182746,1.203296409,21.180088691,3.313104812,23.349288317,4.681024905,0.300000000,24.951671576,16.563453114,16.563491821,4.681030273,0.000038707,-8.388179755,123,126,3,0x00109041,0x0004ae58,1
9,1,18.240182746,1.203296409,21.180088691,3.313104812,23.349288317,4.681024905,0.300000000,24.951671576,9.522512659,9.201156616,4.681030273,-0.321356043,-15.750514960,127,130,3,0x0009337f,0x0004ae58,1
9,2,18.240182746,1.203296409,21.180088691,3.313104812,23.349288317,4.681024905,0.300000000,24.951671576,24.462816468,24.357101440,4.681030273,-0.105715028,-0.594570136,131,134,3,0x00185b6b,0x0004ae58,1
10,0,13.028952604,0.405530921,14.639872675,0.708008544,18.221130386,1.290755957,0.300000000,19.176338652,10.869196480,10.869155884,1.290756226,-0.000040596,-8.307182769,135,138,3,0x000ade81,0x00014a6f,1
10,1,13.028952604,0.405530921,14.639872675,0.708008544,18.221130386,1.290755957,0.300000000,19.176338652,11.231459373,11.226547241,1.290756226,-0.004912132,-7.949791411,139,142,3,0x000b39ff,0x00014a6f,1
10,2,13.028952604,0.405530921,14.639872675,0.708008544,18.221130386,1.290755957,0.300000000,19.176338652,18.872874006,18.860519409,1.290756226,-0.012354597,-0.315819243,143,146,3,0x0012dc4b,0x00014a6f,1
11,0,12.935852241,0.437245306,16.505752131,1.837122992,19.307530443,3.316883478,0.300000000,21.144311807,11.820810560,11.820846558,3.316879272,0.000035998,-9.323465249,147,150,3,0x000bd223,0x0003511f,1
11,1,12.935852241,0.437245306,16.505752131,1.837122992,19.307530443,3.316883478,0.300000000,21.144311807,11.149429078,11.161392212,3.316879272,0.011963134,-9.982919595,151,154,3,0x000b2951,0x0003511f,1
11,2,12.935852241,0.437245306,16.505752131,1.837122992,19.307530443,3.316883478,0.300000000,21.144311807,21.419825657,21.454864502,3.316879272,0.035038845,0.310552695,155,158,3,0x00157472,0x0003511f,1
12,0,12.117070147,0.596586503,17.209556346,3.886596506,19.499936883,5.078208231,0.300000000,20.511398157,11.193635712,11.193649292,5.078201294,0.000013580,-9.317748865,159,162,3,0x000b3193,0x00051405,1
12,1,12.117070147,0.596586503,17.209556346,3.886596506,19.499936883,5.078208231,0.300000000,20.511398157,6.229418180,6.224945068,5.078201294,-0.004473111,-14.286453089,163,166,3,0x00063996,0x00051405,1
12,2,12.117070147,0.596586503,17.209556346,3.886596506,19.499936883,5.078208231,0.300000000,20.511398157,20.070242708,20.090484619,5.078201294,0.020241911,-0.420913538,167,170,3,0x0014172a,0x00051405,1
